DEBUG 2024-12-06 14:16:03,676 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1730002025.9317544
DEBUG 2024-12-06 14:16:03,677 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1730002025.770212
DEBUG 2024-12-06 14:16:03,677 autoreload File C:\Python\Lib\sysconfig.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,677 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1730002025.8422296
DEBUG 2024-12-06 14:16:03,677 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\urllib3\filepost.py first seen with mtime 1731273656.626267
DEBUG 2024-12-06 14:16:03,677 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1730002032.9934301
DEBUG 2024-12-06 14:16:03,678 autoreload File C:\Python\Lib\html\entities.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,678 autoreload File C:\Python\Lib\xml\dom\domreg.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,678 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1730002025.8382285
DEBUG 2024-12-06 14:16:03,678 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\status.py first seen with mtime 1730002032.8493989
DEBUG 2024-12-06 14:16:03,678 autoreload File C:\Python\Lib\asyncio\constants.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,679 autoreload File C:\Python\Lib\importlib\__init__.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,679 autoreload File C:\Python\Lib\importlib\metadata\_collections.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,679 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1730002024.3431735
DEBUG 2024-12-06 14:16:03,679 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1730002023.5565028
DEBUG 2024-12-06 14:16:03,679 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1730002025.9772682
DEBUG 2024-12-06 14:16:03,680 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1730002025.0980027
DEBUG 2024-12-06 14:16:03,680 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\backends\mysql\client.py first seen with mtime 1730002025.7892153
DEBUG 2024-12-06 14:16:03,680 autoreload File C:\Python\DLLs\_uuid.pyd first seen with mtime 1712688662.0
DEBUG 2024-12-06 14:16:03,680 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\corsheaders\checks.py first seen with mtime 1730002033.5905654
DEBUG 2024-12-06 14:16:03,680 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1730002025.7146947
DEBUG 2024-12-06 14:16:03,681 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1730002025.7752132
DEBUG 2024-12-06 14:16:03,681 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1730002032.98943
DEBUG 2024-12-06 14:16:03,681 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\__init__.py first seen with mtime 1730002025.7096932
DEBUG 2024-12-06 14:16:03,681 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\urllib3\util\retry.py first seen with mtime 1731273656.6412704
DEBUG 2024-12-06 14:16:03,682 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\generic\base.py first seen with mtime 1730002025.9802687
DEBUG 2024-12-06 14:16:03,682 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\generic\list.py first seen with mtime 1730002025.983269
DEBUG 2024-12-06 14:16:03,682 autoreload File C:\Python\Lib\tempfile.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,682 autoreload File C:\Python\Lib\asyncio\windows_utils.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,682 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1730002032.9904308
DEBUG 2024-12-06 14:16:03,683 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\pymysql\charset.py first seen with mtime 1730002345.7128828
DEBUG 2024-12-06 14:16:03,683 autoreload File C:\Python\Lib\re\_parser.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,683 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1730002025.8517356
DEBUG 2024-12-06 14:16:03,683 autoreload File C:\Python\Lib\_compat_pickle.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,683 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\debug.py first seen with mtime 1730002025.9712665
DEBUG 2024-12-06 14:16:03,684 autoreload File C:\Python\Lib\tokenize.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,684 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1730002025.0799987
DEBUG 2024-12-06 14:16:03,684 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\pymysql\constants\CLIENT.py first seen with mtime 1730002345.7178845
DEBUG 2024-12-06 14:16:03,684 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1730002025.9622645
DEBUG 2024-12-06 14:16:03,684 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\version.py first seen with mtime 1730002025.9652653
DEBUG 2024-12-06 14:16:03,685 autoreload File C:\Python\Lib\pprint.py first seen with mtime 1712688618.0
